2026-01-06 13:53:30,042 | INFO | LoginPage | Navigating to URL: https://www.saucedemo.com
2026-01-06 13:53:30,830 | INFO | LoginPage | Filling input with text: standard_user
2026-01-06 13:53:30,830 | INFO | LoginPage | Waiting for locator to be visible
2026-01-06 13:53:31,001 | INFO | LoginPage | Filling input with text: secret_sauce
2026-01-06 13:53:31,002 | INFO | LoginPage | Waiting for locator to be visible
2026-01-06 13:53:31,073 | INFO | LoginPage | Clicking on element
2026-01-06 13:53:31,074 | INFO | LoginPage | Waiting for locator to be visible
2026-01-06 13:53:31,244 | INFO | InventoryPage | Waiting for URL to contain: /inventory.html
2026-01-06 13:53:31,321 | INFO | InventoryPage | Waiting for locator to be visible
