2025-12-29 10:11:14,728 | INFO | LoginPage | Navigating to URL: https://www.saucedemo.com
2025-12-29 10:11:15,737 | INFO | LoginPage | Filling input with text: standard_user
2025-12-29 10:11:15,738 | INFO | LoginPage | Waiting for locator to be visible
2025-12-29 10:11:15,843 | INFO | LoginPage | Filling input with text: secret_sauce
2025-12-29 10:11:15,843 | INFO | LoginPage | Waiting for locator to be visible
2025-12-29 10:11:15,907 | INFO | LoginPage | Clicking on element
2025-12-29 10:11:15,907 | INFO | LoginPage | Waiting for locator to be visible
2025-12-29 10:11:16,047 | INFO | InventoryPage | Waiting for URL to contain: /inventory.html
2025-12-29 10:11:16,105 | INFO | InventoryPage | Waiting for locator to be visible
